Host Response Time,Host Response Rate,Host Listings Count,Host Total Listings Count,Accommodates,Bathrooms,Bedrooms,Beds,Weekly Price,Monthly Price,Security Deposit,Cleaning Fee,Guests Included,Extra People,Minimum Nights,Maximum Nights,Availability 30,Availability 60,Availability 90,Availability 365,Number of Reviews,Review Scores Rating,Review Scores Accuracy,Review Scores Cleanliness,Review Scores Checkin,Review Scores Communication,Review Scores Location,Review Scores Value,Calculated host listings count,Reviews per Month,total_words,house_rules_words,days_since_calendar_updated,days_host_since,days_since_last_scraped,days_since_first_review,days_since_last_review,season,host_verified,distance_km,neighbourhood_price,has_weekly_price,has_monthly_price,Property Type_price_encoded,Room Type_price_encoded,Bed Type_price_encoded,total_amenities,amenity_wireless_internet,amenity_internet,amenity_kitchen,amenity_heating,amenity_essentials,amenity_washer,amenity_tv,amenity_hot_tub,amenity_pool,amenity_gym,amenity_cable_tv,amenity_free_parking_on_premises,amenity_pets_allowed,cancellation_price_encoded
3,0.92,3.0,3.0,2,2.0,1.0,1.0,999999.0,999999.0,0.0,10.0,1,18,2,180,15,45,75,350,2,100.0,9.0,10.0,10.0,10.0,8.0,9.0,3.0,0.53,270,0,1,1172,1,113,14,1,1,6.408288358983585,42.5,0,0,38.0,29.0,52.0,9,1,1,1,1,1,1,0,0,0,0,0,0,0,60.0
1,1.0,2.0,2.0,2,1.0,1.0,1.0,999999.0,999999.0,150.0,15.0,1,0,2,1125,4,34,64,339,2,100.0,10.0,10.0,10.0,10.0,10.0,10.0,2.0,2.0,269,755,1,1826,1,14,6,1,1,0.9697911743467956,60.0,0,0,55.0,72.0,52.0,15,1,1,1,1,1,1,1,0,0,0,0,0,0,60.0
999,0.0,2.0,2.0,1,1.5,1.0,1.0,230.0,675.0,0.0,10.0,1,0,1,1125,0,0,0,250,3,93.0,10.0,9.0,10.0,9.0,10.0,10.0,2.0,0.16,176,0,1,776,1,574,549,1,1,1.083992668727622,50.0,1,1,55.0,29.0,52.0,8,1,1,1,1,1,1,0,0,0,0,0,0,0,40.0
24,1.0,3.0,3.0,2,1.0,1.0,1.0,999999.0,999999.0,0.0,10.0,1,10,2,1125,30,60,90,365,13,98.0,10.0,10.0,10.0,10.0,9.0,10.0,3.0,0.42,25,0,2,1661,1,938,157,1,1,11.199457408400068,45.0,0,0,55.0,29.0,52.0,12,1,1,1,1,1,1,0,0,1,0,0,0,0,40.0
1,1.0,1.0,1.0,2,1.0,1.0,1.0,999999.0,999999.0,300.0,30.0,1,0,4,1125,4,4,4,244,16,100.0,10.0,10.0,10.0,10.0,10.0,10.0,1.0,1.3,415,136,2,415,1,370,28,1,1,2.375547527382017,75.0,0,0,55.0,72.0,52.0,28,1,1,1,1,1,1,1,0,0,0,0,0,0,55.0
1,1.0,1.0,1.0,4,1.0,1.0,1.0,999999.0,999999.0,100.0,20.0,1,10,3,90,5,31,56,57,4,85.0,10.0,10.0,10.0,10.0,9.0,9.0,1.0,1.22,89,75,2,130,1,98,11,1,1,0.17041478425888573,78.0,0,0,55.0,72.0,52.0,20,1,1,1,1,1,0,1,0,0,0,0,0,0,55.0
1,1.0,2.0,2.0,2,1.0,1.0,1.0,999999.0,999999.0,0.0,20.0,1,0,2,1125,10,40,64,283,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.0,0.0,63,127,1,220,1,999,999,1,1,0.8164462179755034,60.0,0,0,55.0,72.0,52.0,9,1,1,1,1,1,1,1,0,0,0,0,0,0,60.0
24,1.0,1.0,1.0,9,2.5,4.0,6.0,999999.0,3900.0,200.0,30.0,1,0,5,90,7,12,16,253,44,100.0,10.0,10.0,10.0,10.0,10.0,10.0,1.0,0.91,327,0,1,1629,1,1458,36,1,1,1.2662280695696233,60.0,0,1,55.0,72.0,52.0,19,1,1,1,1,1,1,1,0,0,0,0,0,0,60.0
24,0.83,3.0,3.0,2,1.0,0.0,1.0,999999.0,999999.0,200.0,15.0,1,0,3,1125,9,18,30,120,49,94.0,9.0,10.0,10.0,10.0,9.0,10.0,3.0,3.29,277,0,1,556,1,447,5,1,1,3.1806544529530982,42.5,0,0,55.0,72.0,52.0,14,1,1,1,1,1,1,1,0,0,0,0,0,0,55.0
3,0.8,1.0,1.0,2,1.0,1.0,1.0,999999.0,999999.0,100.0,30.0,1,0,1,1125,24,54,84,359,16,94.0,10.0,10.0,10.0,9.0,10.0,9.0,1.0,0.96,224,52,1,865,1,498,42,1,1,2.6713051098211023,75.0,0,0,38.0,72.0,52.0,20,1,1,1,1,1,1,1,0,0,0,0,1,1,55.0
